,rate
11764,0
43648,1
2103,0
35558,0
2622,0
42781,0
47899,0
48236,1
22760,0
35941,1
9415,0
13572,0
30391,1
32674,0
6589,0
35391,1
19880,0
29509,1
44878,1
31029,1
49132,1
2833,0
33647,1
46914,0
14673,0
30633,1
47910,1
43728,0
32406,1
44310,1
30007,1
44268,1
33068,1
34465,1
47629,1
34097,1
35805,1
33550,1
33767,1
35705,1
34103,0
40624,0
29799,1
34726,1
20840,0
27749,0
34817,1
20273,0
46867,0
37108,0
36096,1
44171,0
406,0
32672,0
46067,0
29664,1
37870,0
35726,1
43120,0
35408,1
30812,0
49544,0
5530,0
36054,0
31253,1
29927,1
15572,0
28710,0
41534,0
33511,1
31475,1
43251,1
44864,0
24580,0
35076,1
28605,1
36283,1
48513,1
41656,0
15560,0
35788,1
23080,0
49482,1
34764,1
44466,0
7870,0
31801,0
28686,1
44413,0
40134,0
44661,1
49485,1
32698,0
39535,0
29537,0
37416,0
21460,0
27973,0
10538,0
45579,0
40432,0
32034,0
35513,1
29985,1
32738,1
45621,1
11473,0
13470,0
32300,1
34257,1
30960,1
32058,0
14657,0
47977,1
49686,1
38350,0
33369,1
29952,1
30697,1
33972,1
35903,1
19630,0
30827,1
15071,0
31501,1
35769,1
13041,0
47797,1
48929,0
28565,0
35839,1
43916,1
17248,0
45427,1
28550,1
44503,0
44435,1
38714,1
32740,0
48430,1
43178,1
2596,0
46082,1
45812,1
49289,1
48498,0
31357,1
47519,1
36598,0
47641,1
11855,0
40568,0
49458,1
39544,0
23076,0
46328,1
30182,0
45935,1
31159,1
35669,1
7193,0
38083,0
49627,1
43666,1
35522,0
33906,0
35042,1
34434,1
46046,1
6967,0
43522,1
46476,0
21392,0
30420,1
49929,0
49901,1
11215,0
45353,1
10896,0
14118,0
49838,1
11904,0
46838,1
33863,0
23097,0
7064,0
31571,0
29637,1
36038,1
765,0
33257,1
35861,1
46508,1
30889,1
29199,0
49801,1
33264,1
32123,1
40126,0
31096,1
46134,1
46203,0
34005,1
15234,0
30546,1
29228,0
26917,0
33141,1
40310,0
44216,1
45385,1
35710,1
48589,1
36386,1
12990,0
28211,0
26357,0
9330,0
28412,0
30995,0
25996,0
33896,1
29900,1
32625,1
31566,1
39702,0
49635,0
48301,0
33086,1
38190,0
32260,1
30752,1
43433,0
10480,0
30448,1
31897,0
46474,0
49830,0
29293,1
35130,0
45721,1
31438,0
4312,0
7822,0
34395,0
35095,1
45063,1
42545,0
29210,1
46471,1
31858,1
33057,1
32556,0
28813,1
40915,0
49910,1
34999,1
45782,1
7577,0
49440,0
48746,1
29168,1
46144,0
37766,0
45745,1
19560,0
21717,0
32765,1
12158,0
25590,0
31445,0
27137,0
29885,1
34885,1
33076,1
34602,0
29005,1
29673,1
16416,0
21802,0
43727,0
44930,1
46099,1
36249,1
32742,1
19310,0
33079,0
29935,1
5159,0
45194,1
29847,0
25956,0
43420,1
43636,0
5364,0
45691,0
43423,1
48002,1
46699,1
36111,1
48803,0
30596,1
44146,0
8760,0
48093,1
34997,1
2015,0
33035,1
13562,0
45560,0
14578,0
28682,1
36709,0
36321,1
35150,1
46915,1
32497,1
48443,0
37899,0
5096,0
4738,0
45664,1
10080,0
7378,0
31282,1
28492,1
46985,1
27748,0
35252,1
25748,0
32824,0
30519,1
45767,1
8067,0
34032,0
35761,1
2421,0
44708,1
36913,0
43762,0
3333,0
3594,0
7776,0
49746,1
25299,0
31198,1
28624,1
43085,0
15098,0
44035,1
13216,0
32926,0
49007,1
49782,1
30527,1
19200,0
22207,0
36275,1
30001,0
34985,1
32047,1
48241,1
10467,0
6968,0
47933,0
47990,1
14838,0
23289,0
12100,0
23766,0
41555,0
48080,1
35493,1
21838,0
30571,1
295,0
20551,0
985,0
27320,0
17549,0
5995,0
21394,0
1022,0
29042,1
46229,0
17053,0
45732,1
31690,0
31348,1
31355,1
43516,0
30185,1
21086,0
23088,0
784,0
34860,1
2033,0
35648,1
31290,0
47314,0
35849,1
32231,1
24808,0
32898,1
32745,1
35721,1
48911,0
48925,1
1553,0
25587,0
21623,0
48005,1
9518,0
44230,0
48885,1
30765,0
48917,0
43379,1
45441,1
44747,1
34424,1
47916,1
45569,1
35789,1
30700,1
43979,1
45827,1
28927,1
35149,0
33401,0
35895,1
32344,1
31288,1
47142,1
7315,0
4131,0
23040,0
45053,0
31382,1
44680,1
45581,1
34004,1
34443,1
4541,0
17535,0
34858,1
30873,0
14141,0
48189,1
30432,0
34708,1
43535,0
2134,0
9885,0
45685,0
21221,0
35051,1
36393,0
28839,1
47772,1
36320,1
20626,0
10292,0
11243,0
45325,1
48309,1
18969,0
15465,0
34647,1
20773,0
33228,1
49225,1
35016,0
34309,0
43771,1
31833,0
44014,1
44330,1
21183,0
32669,0
15433,0
29855,1
26550,0
46146,1
34521,1
28471,1
28937,1
38618,1
38205,0
44583,1
43827,0
43565,1
29863,1
48279,1
40564,0
6117,0
44053,1
33941,0
26466,0
32028,1
36114,1
9695,0
36369,1
37006,0
46973,1
10886,0
41672,0
33932,1
27158,0
30320,1
39198,0
32390,1
32679,1
33110,1
45024,1
24034,0
28704,1
45275,1
45337,1
46637,1
20221,0
16631,0
25498,0
46784,1
47587,0
29170,1
39990,0
12684,0
33209,1
8628,0
26315,0
11157,0
22862,0
35960,0
47300,1
42804,0
48606,0
48220,0
39910,0
32842,1
45130,1
41466,0
33094,0
14608,0
30354,0
2852,0
32851,1
35897,0
35677,1
30599,1
33861,1
33748,1
39945,0
47970,1
34355,1
10891,0
45364,1
45013,1
46189,1
49313,0
12678,0
42034,0
32448,1
3374,0
34151,1
35834,1
31889,1
32410,1
28998,1
45335,1
49855,1
34409,0
7181,0
35325,1
47745,1
28809,1
17246,0
46094,1
34637,1
13239,0
31360,1
37490,0
29057,1
42410,0
44967,1
47834,1
47900,1
29136,1
36353,1
34693,1
49093,1
45008,1
46769,1
29948,0
47439,1
26100,0
43247,1
35529,0
35840,1
8181,0
15340,0
34856,1
40348,0
49360,1
44737,1
29439,1
33705,1
28607,0
